NUTS3;Number of heating days;Average temperature during heating period;Number SFH;Number MFH;Appartment per SFH;Appartment per MFH;SHD_SFH;SHD_MFH;HWD_SFH;HWD_MFH;OTH_SFH;OTH_MFH
DE725;201;4,648984245;32048;2874;1,24101348;4,868649965;19994,66441;43082,18447;1564,149079;4868,649965;6256,596318;14605,9499
DE731;201;4,648984245;20139;11562;1,245891057;6,543331604;20508,25382;58536,17688;1570,296682;6543,331604;6281,18673;19629,99481
DE732;201;4,648984245;46333;8681;1,377290484;5,141861537;21338,50726;43210,4391;1735,909946;5141,861537;6943,639785;15425,58461
DE733;201;4,648984245;33807;3568;1,268139734;5,026345291;20752,15879;44863,51331;1598,338479;5026,345291;6393,353917;15079,03587
DE734;201;4,648984245;62042;7144;1,284323523;4,922732363;20482,02476;42866,39973;1618,736209;4922,732363;6474,944837;14768,19709
DE735;201;4,648984245;50464;5038;1,290860812;4,934001588;20922,11362;43793,75422;1626,97568;4934,001588;6507,90272;14802,00476
DE736;201;4,648984245;43072;5467;1,25508451;4,884214377;20198,5127;43037,05225;1581,88393;4884,214377;6327,53572;14652,64313
DE737;264;3,460621843;29380;3435;1,247821647;4,823726346;27370,39708;58263,78367;1572,729961;4823,726346;6290,919842;14471,17904
DEB11;197;5,509581218;14009;7307;1,244913984;5,978924319;19769,55463;51236,64224;1569,065198;5978,924319;6276,260794;17936,77296
DEB12;238;4,198932073;35910;4869;1,17048176;5,299445471;21773,92699;53619,12934;1475,252281;5299,445471;5901,009126;15898,33641
DEB13;180;5,719675926;40473;3189;1,201467645;4,959078081;17046,89135;38564,91041;1514,306284;4959,078081;6057,225136;14877,23424
DEB14;180;5,719675926;43203;4968;1,165636646;5,615539452;16543,63836;43686,02253;1469,145594;5615,539452;5876,582377;16846,61836
DEB15;238;4,198932073;25776;2791;1,188314711;5,314045145;22973,0825;56151,60261;1497,728584;5314,045145;5990,914336;15942,13544
DEB1C;201;4,648984245;22300;1696;1,15690583;4,265625;18560,3418;37719,1668;1458,141445;4265,625;5832,565779;12796,875
DEB17;201;4,648984245;56675;8251;1,19687693;5,097503333;18731,17474;43610,78508;1508,520237;5097,503333;6034,080946;15292,51
DEB18;197;5,509581218;49408;6156;1,198813957;4,971816114;18433,39424;41748,21663;1510,961628;4971,816114;6043,846512;14915,44834
DEB1D;197;5,509581218;30748;3284;1,200110576;5,006699147;18277,06;41730,35776;1512,595861;5006,699147;6050,383445;15020,09744
DEB1A;197;5,509581218;33184;4955;1,231647782;5,118970737;19182,25537;44008,84593;1552,344738;5118,970737;6209,37895;15356,91221
DEB1B;201;4,648984245;60666;4967;1,19699667;5,051741494;18619,23192;42978,54513;1508,671155;5051,741494;6034,68462;15155,22448
DEB21;201;4,648984245;13882;6822;1,230946549;5,918132512;19934,94661;52401,69271;1551,460918;5918,132512;6205,843671;17754,39754
DEB22;201;4,648984245;37399;3302;1,175860317;5,022107813;18605,86341;43841,15406;1482,03131;5022,107813;5928,125238;15066,32344
DEB23;180;5,719675926;32969;2206;1,177166429;4,348141432;16479,02924;33311,79137;1483,677507;4348,141432;5934,71003;13044,4243
DEB24;180;5,719675926;22173;1483;1,165787219;4,643627782;16382,06629;35790,16396;1469,335374;4643,627782;5877,341494;13930,88334
DEB25;180;5,719675926;43525;3835;1,186812177;4,831029987;16218,90098;36048,92216;1495,834819;4831,029987;5983,339276;14493,08996
DEB31;180;5,719675926;7007;1415;1,164121593;4,562190813;16666,94917;36121,1298;1467,236051;4562,190813;5868,944205;13686,57244
DEB32;238;4,198932073;14571;5731;1,237183447;6,276653289;23582,17966;64628,35875;1559,321781;6276,653289;6237,287123;18829,95987
DEB33;238;4,198932073;8344;2158;1,144534995;6,123725672;22041,51997;64118,15521;1442,549487;6123,725672;5770,19795;18371,17702
